TRUE,61,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,MPU9250.GYRO_SPIKE.CONFIG_Z_REJECT_THRESHOLD,float,,(float)(mpu9250_filter->spike_filter_config_gyro[2].reject_threshold),NONE,,,,,,,,,,
,MPU9250.GYRO_SPIKE.CONFIG_Z_LMT_ACCEPT_AS_STEP,float,,(float)(mpu9250_filter->spike_filter_config_gyro[2].amplitude_limit_to_accept_as_step),NONE,,,,,,,,,,
,MPU9250.GYRO_SPIKE.ERROR_Z,uint8_t,,(uint8_t)(mpu9250_filter->filter_gyro_error[2]),NONE,,,,,,,,,,
,RM3100EXTRNL.SPIKE_CONFIG_X_CNT_LMT_ACCEPT,uint8_t,,(uint8_t)(rm3100_filter->spike_filter_config[1][0].count_limit_to_accept),NONE,,,,,,,,,,
,RM3100EXTRNL.SPIKE_CONFIG_X_CNT_LMT_REJECT,uint8_t,,(uint8_t)(rm3100_filter->spike_filter_config[1][0].count_limit_to_reject_continued_warning),NONE,,,,,,,,,,
,RM3100EXTRNL.SPIKE_CONFIG_X_REJECT_THRESHOLD,float,,(float)(rm3100_filter->spike_filter_config[1][0].reject_threshold),NONE,,,,,,,,,,
,RM3100EXTRNL.SPIKE_CONFIG_X_LMT_ACCEPT_AS_STEP,float,,(float)(rm3100_filter->spike_filter_config[1][0].amplitude_limit_to_accept_as_step),NONE,,,,,,,,,,
,RM3100EXTRNL.SPIKE_ERROR_X,uint8_t,,(uint8_t)(rm3100_filter->filter_error[1][0]),NONE,,,,,,,,,,
,RM3100EXTRNL.SPIKE_CONFIG_Y_CNT_LMT_ACCEPT,uint8_t,,(uint8_t)(rm3100_filter->spike_filter_config[1][1].count_limit_to_accept),NONE,,,,,,,,,,
,RM3100EXTRNL.SPIKE_CONFIG_Y_CNT_LMT_REJECT,uint8_t,,(uint8_t)(rm3100_filter->spike_filter_config[1][1].count_limit_to_reject_continued_warning),NONE,,,,,,,,,,
